P_ID,P_ID2,Valve Size,Co-efficients,10,20,30,40,50,60,70,80,90,100
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.5,1,Cv,0.105,0.184,0.314,0.488,0.716,1.04,1.53,2.3,3.2,4.21
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.5,1,FL,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.5,1,Xt,0.974,0.792,0.654,0.638,0.63,0.58,0.547,0.497,0.523,0.549
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.5,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.25,1,Cv,0.053,0.073,0.101,0.146,0.216,0.312,0.433,0.588,0.802,1.07
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.25,1,FL,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.25,1,Xt,0.692,0.648,0.639,0.625,0.6,0.586,0.597,0.613,0.62,0.624
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.25,1,Cv,0.039,0.46,0.056,0.072,0.094,0.124,0.162,0.212,0.278,0.354
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.25,1,FL,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.25,1,Xt,0.778,0.734,0.69,0.653,0.642,0.635,0.637,0.634,0.632,0.656
globe#microspline#equal#under#900,globe#microspline#equal#under#900#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.5,1,Cv,0.105,0.184,0.314,0.488,0.716,1.04,1.53,2.3,3.2,4.21
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.5,1,FL,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.5,1,Xt,0.974,0.792,0.654,0.638,0.63,0.58,0.547,0.497,0.523,0.549
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.5,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.25,1,Cv,0.053,0.073,0.101,0.146,0.216,0.312,0.433,0.588,0.802,1.07
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.25,1,FL,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.25,1,Xt,0.692,0.648,0.639,0.625,0.6,0.586,0.597,0.613,0.62,0.624
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.25,1,Cv,0.039,0.46,0.056,0.072,0.094,0.124,0.162,0.212,0.278,0.354
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.25,1,FL,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.25,1,Xt,0.778,0.734,0.69,0.653,0.642,0.635,0.637,0.634,0.632,0.656
globe#microspline#equal#under#1500,globe#microspline#equal#under#1500#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.5,1,Cv,0.105,0.184,0.314,0.488,0.716,1.04,1.53,2.3,3.2,4.21
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.5,1,FL,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.5,1,Xt,0.974,0.792,0.654,0.638,0.63,0.58,0.547,0.497,0.523,0.549
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.5,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.25,1,Cv,0.053,0.073,0.101,0.146,0.216,0.312,0.433,0.588,0.802,1.07
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.25,1,FL,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.25,1,Xt,0.692,0.648,0.639,0.625,0.6,0.586,0.597,0.613,0.62,0.624
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.25,1,Cv,0.039,0.46,0.056,0.072,0.094,0.124,0.162,0.212,0.278,0.354
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.25,1,FL,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.25,1,Xt,0.778,0.734,0.69,0.653,0.642,0.635,0.637,0.634,0.632,0.656
globe#microspline#equal#under#2000,globe#microspline#equal#under#2000#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.25,1,Cv,0.072,0.102,0.138,0.209,0.309,0.438,0.63,0.894,1.22,1.61
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.25,1,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.25,1,Xt,0.972,0.971,0.986,0.792,0.668,0.611,0.611,0.609,0.606,0.61
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.5,1,Cv,0.269,0.404,0.555,0.738,1.03,1.52,2.18,3.1,4.23,5.39
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.5,1,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.5,1,Xt,0.789,0.708,0.702,0.65,0.626,0.572,0.583,0.606,0.646,0.713
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.5,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.75,1,Cv,0.384,0.577,0.941,1.39,2.02,2.93,4.4,6.58,8.45,9.61
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.75,1,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.75,1,Xt,0.532,0.774,0.714,0.587,0.579,0.584,0.588,0.607,0.672,0.773
globe#contour#equal#under#900,globe#contour#equal#under#900#1#0.75#0.75,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.25,2,Cv,0.072,0.102,0.138,0.209,0.309,0.438,0.63,0.894,1.22,1.61
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.25,2,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.25,2,Xt,0.972,0.971,0.986,0.792,0.668,0.611,0.611,0.609,0.606,0.61
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.25,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.5,2,Cv,0.269,0.404,0.555,0.738,1.03,1.52,2.18,3.1,4.23,5.39
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.5,2,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.5,2,Xt,0.789,0.708,0.702,0.65,0.626,0.572,0.583,0.606,0.646,0.713
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.5,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.75,2,Cv,0.45,0.713,1.07,1.52,2.12,3.05,4.57,6.87,9.66,11.9
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.75,2,FL,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.75,2,Xt,0.74,0.64,0.578,0.589,0.636,0.648,0.612,0.589,0.636,0.718
globe#contour#equal#under#900,globe#contour#equal#under#900#2#0.75#0.75,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.25,1,Cv,0.072,0.102,0.138,0.209,0.309,0.438,0.63,0.894,1.22,1.61
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.25,1,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.25,1,Xt,0.972,0.971,0.986,0.792,0.668,0.611,0.611,0.609,0.606,0.61
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.5,1,Cv,0.269,0.404,0.555,0.738,1.03,1.52,2.18,3.1,4.23,5.39
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.5,1,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.5,1,Xt,0.789,0.708,0.702,0.65,0.626,0.572,0.583,0.606,0.646,0.713
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.5,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.75,1,Cv,0.384,0.577,0.941,1.39,2.02,2.93,4.4,6.58,8.45,9.61
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.75,1,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.75,1,Xt,0.532,0.774,0.714,0.587,0.579,0.584,0.588,0.607,0.672,0.773
globe#contour#equal#under#1500,globe#contour#equal#under#1500#1#0.75#0.75,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.25,2,Cv,0.072,0.102,0.138,0.209,0.309,0.438,0.63,0.894,1.22,1.61
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.25,2,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.25,2,Xt,0.972,0.971,0.986,0.792,0.668,0.611,0.611,0.609,0.606,0.61
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.25,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.5,2,Cv,0.269,0.404,0.555,0.738,1.03,1.52,2.18,3.1,4.23,5.39
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.5,2,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.5,2,Xt,0.789,0.708,0.702,0.65,0.626,0.572,0.583,0.606,0.646,0.713
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.5,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.75,2,Cv,0.45,0.713,1.07,1.52,2.12,3.05,4.57,6.87,9.66,11.9
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.75,2,FL,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.75,2,Xt,0.74,0.64,0.578,0.589,0.636,0.648,0.612,0.589,0.636,0.718
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.75,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.25,1,Cv,0.072,0.102,0.138,0.209,0.309,0.438,0.63,0.894,1.22,1.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.25,1,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.25,1,Xt,0.972,0.971,0.986,0.792,0.668,0.611,0.611,0.609,0.606,0.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.5,1,Cv,0.269,0.404,0.555,0.738,1.03,1.52,2.18,3.1,4.23,5.39
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.5,1,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.5,1,Xt,0.789,0.708,0.702,0.65,0.626,0.572,0.583,0.606,0.646,0.713
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.5,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.75,1,Cv,0.384,0.577,0.941,1.39,2.02,2.93,4.4,6.58,8.45,9.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.75,1,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.75,1,Xt,0.532,0.774,0.714,0.587,0.579,0.584,0.588,0.607,0.672,0.773
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.75,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.25,2,Cv,0.072,0.102,0.138,0.209,0.309,0.438,0.63,0.894,1.22,1.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.25,2,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.25,2,Xt,0.972,0.971,0.986,0.792,0.668,0.611,0.611,0.609,0.606,0.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.25,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.5,2,Cv,0.269,0.404,0.555,0.738,1.03,1.52,2.18,3.1,4.23,5.39
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.5,2,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.5,2,Xt,0.789,0.708,0.702,0.65,0.626,0.572,0.583,0.606,0.646,0.713
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.5,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.75,2,Cv,0.45,0.713,1.07,1.52,2.12,3.05,4.57,6.87,9.66,11.9
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.75,2,FL,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.75,2,Xt,0.74,0.64,0.578,0.589,0.636,0.648,0.612,0.589,0.636,0.718
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.75,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#0.75,1,Cv,0.48,0.94,1.71,2.93,5.49,8.45,10.5,11.5,12,12.5
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#0.75,1,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#0.75,1,Xt,0.532,0.774,0.714,0.587,0.579,0.584,0.588,0.607,0.672,0.773
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#0.75,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#1,1,Cv,0.85,1.73,3.22,5.71,8.81,11.6,13.7,15.5,16.5,17.1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#1,1,FL,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#1,1,Xt,0.741,0.66,0.561,0.535,0.6,0.685,0.699,0.632,0.626,0.594
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#1#1.125#1,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1,2,Cv,0.884,1.67,2.86,4.96,9.08,15.6,20.9,23,23.9,24.2
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1,2,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1,2,Xt,0.696,0.7,0.698,0.7,0.696,0.7,0.697,0.745,0.714,0.7
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1.25,2,Cv,1.19,1.9,3.6,8.17,16.9,23.9,29,31,32,33
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1.25,2,FL,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1.25,2,Xt,0.584,0.603,0.552,0.668,0.731,0.654,0.657,0.67,0.667,0.632
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.125#1.25,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.5#1.5,2,Cv,1.98,3.83,7.96,16,27.2,37.4,43.3,46.9,51.5,52.2
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.5#1.5,2,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.5#1.5,2,Xt,0.584,0.603,0.554,0.668,0.731,0.654,0.682,0.691,0.634,0.632
globe#contour#mod_equal#under#900,globe#contour#mod_equal#under#900#2#1.5#1.5,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#1500,globe#contour#mod_equal#under#1500#1#1.125#0.75,1,Cv,0.48,0.94,1.71,2.93,5.49,8.45,10.5,11.5,12,12.5
globe#contour#mod_equal#under#1500,globe#contour#mod_equal#under#1500#1#1.125#0.75,1,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
globe#contour#mod_equal#under#1500,globe#contour#mod_equal#under#1500#1#1.125#0.75,1,Xt,0.532,0.774,0.714,0.587,0.579,0.584,0.588,0.607,0.672,0.773
globe#contour#mod_equal#under#1500,globe#contour#mod_equal#under#1500#1#1.125#0.75,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#mod_equal#under#1500,globe#contour#mod_equal#under#1500#1#1.125#1,1,Cv,0.85,1.73,3.22,5.71,8.81,11.6,13.7,15.5,16.5,17.1
globe#contour#mod_equal#under#1500,globe#contour#mod_equal#under#1500#1#1.125#1,1,FL,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
globe#contour#mod_equal#under#1500,globe#contour#mod_equal#under#1500#1#1.125#1,1,Xt,0.741,0.66,0.561,0.535,0.6,0.685,0.699,0.632,0.626,0.594
