Actuator Type,Fail Action,Stem Dia,Yoke Boss dia,Actuator size,Effective Area,Travel,sMin,sMax,Spring Rate,V0,Vm
ps2,AFO,0.375,2.125,30,28.9,0.5,7.5,9.2,100,6.3,107
ps2,AFO,0.375,2.125,30,28.9,0.5,13.4,16.6,178,6.3,107
ps2,AFO,0.375,2.125,30,28.9,0.5,33.5,41.5,450,6.3,107
ps2,AFO,0.5,2.8125,30,28.9,0.5,7.5,9.2,100,6.3,107
ps2,AFO,0.5,2.8125,30,28.9,0.5,13.4,16.6,178,6.3,107
ps2,AFO,0.5,2.8125,30,28.9,0.5,33.5,41.5,450,6.3,107
ps2,AFO,0.5,2.8125,30,28.9,0.75,6.6,9.2,100,6.3,107
ps2,AFO,0.5,2.8125,30,28.9,0.75,11.8,16.6,178,6.3,107
ps2,AFO,0.5,2.8125,30,28.9,0.75,29.5,41.5,450,6.3,107
ps2,AFO,0.375,2.125,50,50,0.5,9.3,10.9,164,20,320
ps2,AFO,0.375,2.125,50,50,0.5,22.7,26.7,398,20,320
ps2,AFO,0.375,2.125,50,50,0.5,31.2,36.6,550,20,320
ps2,AFO,0.5,2.8125,50,50,0.75,8.5,10.9,164,20,320
ps2,AFO,0.5,2.8125,50,50,0.75,20.7,26.7,398,20,320
ps2,AFO,0.5,2.8125,50,50,0.75,28.4,36.6,546,20,320
ps2,AFO,0.5,2.8125,50,50,1.125,5.1,8.8,164,20,320
ps2,AFO,0.5,2.8125,50,50,1.125,15.94,24.9,398,20,320
ps2,AFO,0.5,2.8125,50,50,1.125,20.3,36.58,546,20,320
ps2,AFO,0.75,3.5625,50,50,1.125,5.1,8.8,164,20,320
ps2,AFO,0.75,3.5625,50,50,1.125,15.94,24.9,398,20,320
ps2,AFO,0.75,3.5625,50,50,1.125,20.3,36.58,546,20,320
ps2,AFO,0.75,3.5625,50,50,1.5,6.1,10.9,164,20,320
ps2,AFO,0.75,3.5625,50,50,1.5,14.8,26.7,398,20,320
ps2,AFO,0.75,3.5625,50,50,1.5,20.3,36.6,546,20,320
ps2,AFO,0.75,3.5625,110,111.8,1.5,9.9,14.8,373,104,271
ps2,AFO,0.75,3.5625,110,111.8,1.5,14.6,21.9,550,104,271
ps2,AFO,0.75,3.5625,110,111.8,1.5,18.6,27.9,700,104,271
ps2,AFO,0.75,3.5625,110,111.8,1.5,21.4,30.6,692,104,271
ps2,AFO,0.75,3.5625,110,111.8,1.5,34.6,44.2,720,104,271
ps2,AFO,0.75,3.5625,110,111.8,1.5,6.6,9.9,247.2,104,271
ps2,AFO,0.75,3.5625,110,111.8,2.5,6.6,14.8,373,104,383
ps2,AFO,0.75,3.5625,110,111.8,2.5,9.7,21.9,550,104,383
ps2,AFO,0.75,3.5625,110,111.8,2.5,12.4,27.9,700,104,383
ps2,AFO,0.75,3.5625,110,111.8,2.5,15.3,30.6,692,104,383
ps2,AFO,0.75,3.5625,110,111.8,2.5,28.3,44.2,720,104,383
ps2,AFO,1,5,110,111.8,2.5,6.6,14.8,373,104,383
ps2,AFO,1,5,110,111.8,2.5,9.7,21.9,550,104,383
ps2,AFO,1,5,110,111.8,2.5,12.4,27.9,700,104,383
ps2,AFO,1,5,110,111.8,2.5,15.3,30.6,692,104,383
ps2,AFO,1,5,110,111.8,2.5,28.3,44.2,720,104,383
ps2,AFO,0.75,3.5625,110L,111.8,4,9.1,10.9,50,104,650
ps2,AFO,0.75,3.5625,110L,111.8,4,16.5,19.7,90.6,104,650
ps2,AFO,0.75,3.5625,110L,111.8,4,23.7,27.3,101,104,650
ps2,AFO,0.75,3.5625,110L,111.8,4,40.1,46.9,191.6,104,650
ps2,AFO,1.125,5,110L,111.8,4,9.1,10.9,50,104,650
ps2,AFO,1.125,5,110L,111.8,4,16.5,19.7,90.6,104,650
ps2,AFO,1.125,5,110L,111.8,4,23.7,27.3,101,104,650
ps2,AFO,1.125,5,110L,111.8,4,40.1,46.9,191.6,104,650
ps2,AFO,1.125,5,110L,111.8,5,8.7,10.9,50,104,760
ps2,AFO,1.125,5,110L,111.8,5,15.7,19.7,90.6,104,760
ps2,AFO,1.125,5,110L,111.8,5,22.8,27.3,101,104,760
ps2,AFO,1.125,5,110L,111.8,5,38.4,46.9,191.6,104,760
ps2,AFO,1.125,5,110L,111.8,6,8.2,10.9,50,104,870
ps2,AFO,1.125,5,110L,111.8,6,14.9,19.7,90.6,104,870
ps2,AFO,1.125,5,110L,111.8,6,21.9,27.3,101,104,870
ps2,AFO,1.125,5,110L,111.8,6,36.7,46.9,191.6,104,870
ps2,AFO,1.125,5,110X,111.8,8,13.2,19.7,90.6,104,1170
ps2,AFO,1.125,5,110X,111.8,8,20.1,27.2,101,104,1170
ps2,AFO,1.125,5,110X,111.8,8,33.4,46.9,191.6,104,1170
ps2,AFO,1.125,5,110X,111.8,9,6.9,10.9,50,104,1300
ps2,AFO,1.125,5,110X,111.8,9,12.4,19.7,90.6,104,1300
ps2,AFO,1.125,5,110X,111.8,9,19.2,27.2,101,104,1300
ps2,AFO,1.125,5,110X,111.8,9,31.7,46.9,191.6,104,1300
ps2,AFO,1.125,5,110X,111.8,12,5.6,10.9,49.4,104,1690
ps2,AFO,1.125,5,110X,111.8,12,10,19.7,90.6,104,1690
ps2,AFO,1.125,5,110X,111.8,12,16.5,27.2,101,104,1690
ps2,AFO,1.125,5,110X,111.8,12,26.6,46.9,191.6,104,1690
ps2,AFO,1.125,5,220,223.6,4,3.2,5.2,101,280,1130
ps2,AFO,1.125,5,220,223.6,4,2.9,4.7,91.5,280,1130
ps2,AFO,1.125,5,220,223.6,4,2.2,3.6,70,280,1130
ps2,AFO,1.125,5,220,223.6,4,6,9.8,210,280,1130
ps2,AFO,1.125,5,220,223.6,4,12.9,24.8,600,280,1130
ps2,AFO,1.125,5,220,223.6,4,25.1,41,800,280,1130
ps2,AFO,1.125,5,220,223.6,4,6,25.4,1085,280,1130
ps2,AFO,1.125,5,220,223.6,4,6,9.9,192.5,280,1130
ps2,AFO,1.125,5,220,223.6,4,5.4,8.8,171,280,1130
ps2,AFO,1.125,5,220,223.6,4,8.2,13.5,263,280,1130
ps2,AFO,1.125,5,220,223.6,4,5.1,8.3,161.5,280,1130
ps2,AFO,1.125,5,220,223.6,5,2.7,5.2,101,280,1397
ps2,AFO,1.125,5,220,223.6,5,2.4,4.7,91.5,280,1397
ps2,AFO,1.125,5,220,223.6,5,1.9,3.6,70,280,1397
ps2,AFO,1.125,5,220,223.6,5,15.1,19.8,210,280,1397
ps2,AFO,1.125,5,220,223.6,5,9.9,24.8,600,280,1397
ps2,AFO,1.125,5,220,223.6,5,21.1,41,800,280,1397
ps2,AFO,1.125,5,220,223.6,5,5.1,9.9,1085,280,1397
ps2,AFO,1.125,5,220,223.6,5,4.5,8.8,192.5,280,1397
ps2,AFO,1.125,5,220,223.6,5,6.9,13.5,171,280,1397
ps2,AFO,1.125,5,220,223.6,5,4.3,8.3,161.5,280,1397
ps2,AFO,1.125,5,220,223.6,6,2.2,5.2,101,280,1621
ps2,AFO,1.125,5,220,223.6,6,2,4.7,91.5,280,1621
ps2,AFO,1.125,5,220,223.6,6,1.5,3.6,70,280,1621
ps2,AFO,1.125,5,220,223.6,6,15.2,20.8,210,280,1621
ps2,AFO,1.125,5,220,223.6,6,6.9,24.8,600,280,1621
ps2,AFO,1.125,5,220,223.6,6,17.1,41,800,280,1621
ps2,AFO,1.125,5,220,223.6,6,6,35.1,1085,280,1621
ps2,AFO,1.125,5,220,223.6,6,4.1,9.9,192.5,280,1621
ps2,AFO,1.125,5,220,223.6,6,3.7,8.8,171,280,1621
ps2,AFO,1.125,5,220,223.6,6,5.6,13.5,263,280,1621
ps2,AFO,1.125,5,220,223.6,6,3.5,8.3,161.5,280,1621
ps2,AFO,1.125,5,220X,223.6,8,3.21,6,77.9,280,2000
ps2,AFO,1.125,5,220X,223.6,8,4.7,7.94,90.6,280,2000
ps2,AFO,1.125,5,220X,223.6,8,9.4,13.02,101,280,2000
ps2,AFO,1.125,5,220X,223.6,8,20.75,28.7,222.2,280,2000
ps2,AFO,1.125,5,220X,223.6,8,8.6,14.62,168.5,280,2000
ps2,AFO,1.125,5,220X,223.6,8,12,18.4,178.9,280,2000
ps2,AFO,1.125,5,220X,223.6,8,16,22.85,191.6,280,2000
ps2,AFO,1.125,5,220X,223.6,8,18,27.63,269.3,280,2000
ps2,AFO,1.125,5,220X,223.6,8,12,25.97,390.7,280,2000
ps2,AFO,1.125,5,220X,223.6,9,2.8,6.3,77.9,280,2290
ps2,AFO,1.125,5,220X,223.6,9,5.8,9.9,90.6,280,2290
ps2,AFO,1.125,5,220X,223.6,9,9.5,14,101,280,2290
ps2,AFO,1.125,5,220X,223.6,9,20.8,30.7,222.2,280,2290
ps2,AFO,1.125,5,220X,223.6,9,8.6,16.2,168.5,280,2290
ps2,AFO,1.125,5,220X,223.6,9,12.3,20.3,178.9,280,2290
ps2,AFO,1.125,5,220X,223.6,9,15.3,23.9,191.6,280,2290
ps2,AFO,1.125,5,220X,223.6,9,18.1,30.2,269.3,280,2290
ps2,AFO,1.125,5,220X,223.6,9,29.4,46.9,390.7,280,2290
ps2,AFO,1.125,5,220X,223.6,9,23.6,37,333.5,280,2290
ps2,AFO,1.125,5,220X,223.6,9,26.7,40.7,312.8,280,2290
ps2,AFO,1.125,5,220X,223.6,12,1.7,6.3,77.9,280,2960
ps2,AFO,1.125,5,220X,223.6,12,4.5,9.9,90.6,280,2960
ps2,AFO,1.125,5,220X,223.6,12,8,14,101,280,2960
ps2,AFO,1.125,5,220X,223.6,12,17.5,30.7,222.2,280,2960
ps2,AFO,1.125,5,220X,223.6,12,6.1,16.2,168.5,280,2960
ps2,AFO,1.125,5,220X,223.6,12,9.6,20.3,178.9,280,2960
ps2,AFO,1.125,5,220X,223.6,12,12.4,23.9,191.6,280,2960
ps2,AFO,1.125,5,220X,223.6,12,14.1,30.2,269.3,280,2960
ps2,AFO,1.125,5,220X,223.6,12,23.6,46.9,390.7,280,2960
ps2,AFO,1.125,5,220X,223.6,12,19.7,33.2,252.6892,280,2960
ps2,AFO,1.125,5,220X,223.6,12,22.1,40.7,312.8,280,2960
ps2,AFC,0.375,2.125,30,28.6,0.5,6.7,8.5,100,6,105
ps2,AFC,0.375,2.125,30,28.6,0.5,12.1,15.3,178,6,105
ps2,AFC,0.375,2.125,30,28.6,0.5,30.1,38.2,450,6,105
ps2,AFC,0.5,2.8125,30,28.6,0.5,6.7,8.5,100,6,105
ps2,AFC,0.5,2.8125,30,28.6,0.5,12.1,15.3,178,6,105
ps2,AFC,0.5,2.8125,30,28.6,0.5,30.1,38.2,450,6,105
ps2,AFC,0.5,2.8125,30,28.6,0.75,6.7,9.4,100,6,105
ps2,AFC,0.5,2.8125,30,28.6,0.75,12.1,16.9,178,6,105
ps2,AFC,0.5,2.8125,30,28.6,0.75,30.1,42.2,450,6,105
ps2,AFC,0.375,2.125,50,49.2,0.5,6.2,7.9,164,22,295
ps2,AFC,0.375,2.125,50,49.2,0.5,15.2,19.2,398,22,295
ps2,AFC,0.375,2.125,50,49.2,0.5,20.8,26.4,550,22,295
ps2,AFC,0.5,2.8125,50,49.2,0.5,6.2,7.9,164,22,295
ps2,AFC,0.5,2.8125,50,49.2,0.5,15.2,19.2,398,22,295
ps2,AFC,0.5,2.8125,50,49.2,0.5,20.8,26.4,550,22,295
ps2,AFC,0.5,2.8125,50,49.2,0.75,6.2,8.7,164,22,295
ps2,AFC,0.5,2.8125,50,49.2,0.75,15.2,21.3,398,22,295
ps2,AFC,0.5,2.8125,50,49.2,0.75,20.8,29.2,546,22,295
ps2,AFC,0.5,2.8125,50,49.2,1.125,5.1,8.8,164,22,295
ps2,AFC,0.5,2.8125,50,49.2,1.125,15.94,24.9,398,22,295
ps2,AFC,0.5,2.8125,50,49.2,1.125,20.3,36.58,546,22,295
ps2,AFC,0.75,3.5625,50,49.2,1.125,5.1,8.8,164,22,295
ps2,AFC,0.75,3.5625,50,49.2,1.125,15.94,24.9,398,22,295
ps2,AFC,0.75,3.5625,50,49.2,1.125,20.3,36.58,546,22,295
ps2,AFC,0.75,3.5625,50,49.2,1.5,6.2,11.2,164,22,295
ps2,AFC,0.75,3.5625,50,49.2,1.5,15.2,27.4,398,22,295
ps2,AFC,0.75,3.5625,50,49.2,1.5,20.8,37.6,546,22,295
ps2,AFC,0.75,3.5625,110,110.1,1.5,6.7,11.7,373,104,271
ps2,AFC,0.75,3.5625,110,110.1,1.5,9.9,17.3,550,104,271
ps2,AFC,0.75,3.5625,110,110.1,1.5,12.6,22,700,104,271
ps2,AFC,0.75,3.5625,110,110.1,1.5,15.5,24.9,692,104,271
ps2,AFC,0.75,3.5625,110,110.1,1.5,28.7,38.4,720,104,271
ps2,AFC,0.75,3.5625,110,110.1,1.5,4.5,7.9,247.2,104,271
ps2,AFC,0.75,3.5625,110,110.1,2.5,6.7,15,373,104,383
ps2,AFC,0.75,3.5625,110,110.1,2.5,9.9,22.2,550,104,383
ps2,AFC,0.75,3.5625,110,110.1,2.5,12.6,28.3,700,104,383
ps2,AFC,0.75,3.5625,110,110.1,2.5,15.5,31.1,692,104,383
ps2,AFC,0.75,3.5625,110,110.1,2.5,28.7,44.9,720,104,383
ps2,AFC,0.75,3.5625,110,110.1,2.5,4.492,10.108,247.2,104,383
ps2,AFC,1,5,110,110.1,2.5,6.7,15,373,104,383
ps2,AFC,1,5,110,110.1,2.5,9.9,22.2,550,104,383
ps2,AFC,1,5,110,110.1,2.5,12.6,28.3,700,104,383
ps2,AFC,1,5,110,110.1,2.5,15.5,31.1,692,104,383
ps2,AFC,1,5,110,110.1,2.5,28.7,44.9,720,104,383
ps2,AFC,1,5,110,110.1,2.5,4.492,10.108,247.2,104,383
ps2,AFC,1.125,5,110L,110.1,4,8.3,10.1,50,104,650
ps2,AFC,1.125,5,110L,110.1,4,15.1,18.4,90.6,104,650
ps2,AFC,1.125,5,110L,110.1,4,22.2,25.9,101,104,650
ps2,AFC,1.125,5,110L,110.1,4,37.3,44.2,191.6,104,650
ps2,AFC,1.125,5,110L,110.1,5,8.3,10.6,50,104,760
ps2,AFC,1.125,5,110L,110.1,5,15.1,19.2,90.6,104,760
ps2,AFC,1.125,5,110L,110.1,5,22.2,26.8,101,104,760
ps2,AFC,1.125,5,110L,110.1,5,37.3,46,191.6,104,760
ps2,AFC,1.125,5,110L,110.1,6,8.3,11,50,104,870
ps2,AFC,1.125,5,110L,110.1,6,8.3,11,90.6,104,870
ps2,AFC,1.125,5,110L,110.1,6,22.2,27.7,101,104,870
ps2,AFC,1.125,5,110L,110.1,6,37.3,47.7,191.6,104,870
ps2,AFC,1.125,5,110X,110.1,8,5.7,9.2,90.6,104,1170
ps2,AFC,1.125,5,110X,110.1,8,10.2,16.7,90.6,104,1170
ps2,AFC,1.125,5,110X,110.1,8,16.8,24.1,101,104,1170
ps2,AFC,1.125,5,110X,110.1,8,27,40.8,191.6,104,1170
ps2,AFC,1.125,5,110X,110.1,9,5.7,9.7,50,104,1300
ps2,AFC,1.125,5,110X,110.1,9,10.2,17.5,90.6,104,1300
ps2,AFC,1.125,5,110X,110.1,9,16.8,25,101,104,1300
ps2,AFC,1.125,5,110X,110.1,9,27,42.5,191.6,104,1300
ps2,AFC,1.125,5,110X,110.1,12,5.7,11,49.4,104,1690
ps2,AFC,1.125,5,110X,110.1,12,10.2,20,90.6,104,1690
ps2,AFC,1.125,5,110X,110.1,12,16.8,27.7,101,104,1690
ps2,AFC,1.125,5,110X,110.1,12,27,47.7,191.6,104,1690
ps2,AFC,1.125,5,220,220.4,4,2.2,4.3,101,280,1130
ps2,AFC,1.125,5,220,220.4,4,2,3.9,91.5,280,1130
ps2,AFC,1.125,5,220,220.4,4,1.5,3,70,280,1130
ps2,AFC,1.125,5,220,220.4,4,14.1,17.9,210,280,1130
ps2,AFC,1.125,5,220,220.4,4,7,19.2,600,280,1130
ps2,AFC,1.125,5,220,220.4,4,17.5,33.7,800,280,1130
ps2,AFC,1.125,5,220,220.4,4,16,35.7,1085,280,1130
ps2,AFC,1.125,5,220,220.4,4,4.2,8.1,192.5,280,1130
ps2,AFC,1.125,5,220,220.4,4,3.7,7.2,171,280,1130
ps2,AFC,1.125,5,220,220.4,4,5.7,11.1,263,280,1130
ps2,AFC,1.125,5,220,220.4,4,3.5,6.8,161.5,280,1130
ps2,AFC,1.125,5,220,220.4,5,2.2,4.8,101,280,1397
ps2,AFC,1.125,5,220,220.4,5,2,4.3,91.5,280,1397
ps2,AFC,1.125,5,220,220.4,5,1.5,3.3,70,280,1397
ps2,AFC,1.125,5,220,220.4,5,8,32.6,210,280,1397
ps2,AFC,1.125,5,220,220.4,5,7,22.3,600,280,1397
ps2,AFC,1.125,5,220,220.4,5,17.5,37.8,800,280,1397
ps2,AFC,1.125,5,220,220.4,5,0,0,1085,280,1397
ps2,AFC,1.125,5,220,220.4,5,4.2,9.1,192.5,280,1397
ps2,AFC,1.125,5,220,220.4,5,3.7,8.1,171,280,1397
ps2,AFC,1.125,5,220,220.4,5,5.7,12.4,263,280,1397
ps2,AFC,1.125,5,220,220.4,5,3.5,7.6,161.5,280,1397
ps2,AFC,1.125,5,220,220.4,6,2.2,5.3,101,280,1621
ps2,AFC,1.125,5,220,220.4,6,2,4.8,91.5,280,1621
ps2,AFC,1.125,5,220,220.4,6,1.5,3.7,70,280,1621
ps2,AFC,1.125,5,220,220.4,6,20,25.7,210,280,1621
ps2,AFC,1.125,5,220,220.4,6,7,25.3,600,280,1621
ps2,AFC,1.125,5,220,220.4,6,17.5,41.9,800,280,1621
ps2,AFC,1.125,5,220,220.4,6,0,0,1085,280,1621
ps2,AFC,1.125,5,220,220.4,6,4.2,10.1,192.5,280,1621
ps2,AFC,1.125,5,220,220.4,6,3.7,8.9,171,280,1621
ps2,AFC,1.125,5,220,220.4,6,5.7,13.8,263,280,1621
ps2,AFC,1.125,5,220,220.4,6,3.5,8.5,161.5,280,1621
ps2,AFC,1.125,5,220X,220.4,8,6,8.8,77.9,280,2000
ps2,AFC,1.125,5,220X,220.4,8,8,11.3,90.6,280,2000
ps2,AFC,1.125,5,220X,220.4,8,12,15.7,101,280,2000
ps2,AFC,1.125,5,220X,220.4,8,20.8,28.8,222.2,280,2000
ps2,AFC,1.125,5,220X,220.4,8,8.6,14.7,168.5,280,2000
ps2,AFC,1.125,5,220X,220.4,8,12,18.5,178.9,280,2000
ps2,AFC,1.125,5,220X,220.4,8,16,23,191.6,280,2000
ps2,AFC,1.125,5,220X,220.4,8,18,27.8,269.3,280,2000
ps2,AFC,1.125,5,220X,220.4,8,12,26.2,390.7,280,2000
ps2,AFC,1.125,5,220X,220.4,9,1.7,5.3,77.9,280,2290
ps2,AFC,1.125,5,220X,220.4,9,4.6,8.7,90.6,280,2290
ps2,AFC,1.125,5,220X,220.4,9,8.1,12.7,101,280,2290
ps2,AFC,1.125,5,220X,220.4,9,17.8,28,222.2,280,2290
ps2,AFC,1.125,5,220X,220.4,9,6.3,14,168.5,280,2290
ps2,AFC,1.125,5,220X,220.4,9,9.8,18,178.9,280,2290
ps2,AFC,1.125,5,220X,220.4,9,12.7,21.5,191.6,280,2290
ps2,AFC,1.125,5,220X,220.4,9,14.4,26.7,269.3,280,2290
ps2,AFC,1.125,5,220X,220.4,9,24.1,41.9,390.7,280,2290
ps2,AFC,1.125,5,220X,220.4,9,19.5,33.2,335.6917,280,2290
ps2,AFC,1.125,5,220X,220.4,9,22.4,36.7,312.8,280,2290
ps2,AFC,1.125,5,220X,220.4,12,1.7,6.5,77.9,280,2960
ps2,AFC,1.125,5,220X,220.4,12,4.6,10.1,90.6,280,2960
ps2,AFC,1.125,5,220X,220.4,12,8.1,14.3,101,280,2960
ps2,AFC,1.125,5,220X,220.4,12,17.8,31.3,222.2,280,2960
ps2,AFC,1.125,5,220X,220.4,12,6.3,16.5,168.5,280,2960
ps2,AFC,1.125,5,220X,220.4,12,9.8,20.7,178.9,280,2960
ps2,AFC,1.125,5,220X,220.4,12,12.7,24.4,191.6,280,2960
ps2,AFC,1.125,5,220X,220.4,12,14.4,30.8,269.3,280,2960
ps2,AFC,1.125,5,220X,220.4,12,24.1,47.9,390.7,280,2960
ps2,AFC,1.125,5,220X,220.4,12,19.52,37.8,335.6917,280,2960
ps2,AFC,1.125,5,220X,220.4,12,22.4,41.4,312.8,280,2960
